Vertex	Adjacent vertexes
435337302	3680184125
435333852	435337302
435333859	435333852
435333863	435333859
435333866	435333863
2347129142	435333866
435333869	2347129142
435333877	435333869
412750059	435333877
412750058	412750059
412750057	412750058
412750055	412750057
1264706730	412750055
412750054	1264706730
412750053	412750054
1200692826	412750053
412750051	1200692826
412750050	412750051
412750048	412750050
412750047	412750048
434404621	412750047
412750045	434404621
412750044	412750045
412750042	412750044
412750040	412750042
514433779	412750040
412750038	514433779
412750037	412750038
412750036	412750037
412750035	412750036
412750034	412750035
2486179517	412750034
2486179522	2486179517
412750032	2486179522
2486179578	412750032
412750030	2486179578
3065086649	412750030
412750029	3065086649
412750027	412750029
1200692607	412750027
1200692242	1200692607
2387119923	1200692242
412750026	2387119923
2387119849	412750026
412750025	2387119849
412750023	412750025
412750021	412750023
436368237	412750021
2387127557	436368237
412750008	2387127557
412750007	412750008
412750005	412750007
412750004	412750005
5539609283	412750004
2392598452	5539609283
3164802977	2392598452
1200692781	3164802977
412750003	1200692781
2388054118	412750003
412750002	2388054118
2388054115	412750002
412750000	2388054115
1315858180	412750000
2388054146	1315858180
1315858177	2388054146
2514860388	1315858177
412749998	2514860388,1315858193,2514860386
2514860385	412749998
3483740495	2514860385
3483740494	3483740495
3229508984	3483740494
176342193	3229508984
3255171397	176342193
2330265394	3255171397
2498315368	2330265394
826190562	2498315368
3483843868	826190562
826190552	3483843868
3483843867	826190552
669994945	3483843867
176342189	669994945
669994943	176342189
826190599	669994943
826190618	826190599
176342187	826190618
826190570	176342187
2875953742	826190570
418997388	2875953742
3488322350	418997388
2874309595	3488322350
458910555	2874309595,2875985027
2875945202	458910555
2874310219	2875945202
458910440	2874310219
2874310209	458910440
458910439	2874310209
458910436	458910439
2883655864	458910436
3488365153	419228609
175281704	3488365153
175277031	175281704
4751004494	175277031
4751004509	4751004494
3488362331	4751004509
458914159	3488362331
3488362332	458914159
4751007230	3488362332
2520629246	4751007230
2520629244	2520629246
1273214249	2520629244
818929244	1273214249
3488637449	818929244
418996819	3488637449
2875949837	418996819
3488637450	2875949837
176342185	3488637450
1273214060	176342185
826219822	1273214060
2865900913	826219822
3488322349	2865900913
2875985027	3488322349
1504972600	902581607
1294662042	1504972600
1235530957	1294662042
611816674	1235530957
2488969133	611816674
1235530936	2488969133
1233252524	1235530936
1233252582	1233252524
1504972835	1233252582
1235530974	1504972835
611816677	1235530974
611816676	611816677
611816675	611816676
2425897959	611816675
1231227970	2425897959
431234838	1231227970
2425897943	431234838
1281046599	2425897943
242546577	1281046599
1281046330	242546577
1502599799	1281046330
1231227988	1502599799
1343124098	1231227988
1502599802	1343124098
1504971679	1502599802
2425898014	1504971679
1504971695	2425898014
242546591	1504971695
577322201	242546591
1235650982	577322201
2316628377	1235650982
433733338	2316628377
1504968993	433733338
1504968987	1504968993
433733337	1504968987
2456526689	433733337
4361177384	2456526689
433569974	4361177384
2021081777	433569974
436368221	2021081777
4027613421	436368221
1315858193	4027613421
192196885	667173302
192196884	192196885
192196883	192196884
1054364542	192196883
494064139	1054364542
791267591	494064139
192192660	791267591
410950244	192192660
1111364906	410950244
1111364921	1111364906
623819032	1111364921
2210410052	623819032
842917346	2210410052
409773016	842917346
768520301	409773016
915449376	768520301
538716089	915449376
3637173482	538716089
1507014229	3637173482
2210410061	1507014229
842917603	2210410061
412351964	842917603
1652143793	412351964
1441563021	1652143793
1507015180	1441563021
842917355	1507015180
459461264	842917355
2915758186	459461264
4470143352	2915758186
1507015135	4470143352
1507015140	1507015135
494252655	1507015140
4346992951	494252655
619679507	4346992951
842933438	619679507
176133255	842933438
842917320	176133255
1371071047	842917320
569928099	1371071047
1507015061	569928099
915434021	1507015061
569928102	915434021
1804827667	569928102
1059130100	1804827667
412383281	1059130100
2637690189	412383281
2874403180	2637690189
1280442413	2874403180
412383280	1280442413
1412621986	412383280
1507015069	1412621986
3149870825	1507015069
971573811	3149870825
1507015053	971573811
243796165	1507015053
4353588527	243796165
619677068	4353588527
3782337133	619677068
3261288326	3782337133
1005022140	3261288326
4353588508	1005022140
938284143	4353588508
459485138	938284143
459514076	459485138
5884138269	459514076
459514130	5884138269
3637086756	459514130
243796163	3637086756
1495809821	243796163
175394257	1495809821
412747179	175394257
2875300108	412747179
4538141796	2875300108
536496825	4538141796
2302886531	536496825
2370597766	2302886531
412747181	2370597766
2370597777	412747181
536496842	2370597777
175397199	536496842
536496872	175397199
175397198	536496872
3405218730	175397198
2302886528	3405218730
243796262	2302886528
3053048021	243796262
