Vertex	Adjacent vertexes
181289665	1836838016
3717980827	181289665
1836837672	3717980827
181290019	1836837672
1836837648	181290019
937458257	1836837648
413320643	937458257
542063753	413320643
181290018	542063753
431780190	181290018
5241190937	431780190
432325673	5241190937
5241193353	432325673
2620216339	5241193353
2620216333	2620216339,892665065
175397174	600079231
1826467748	175397174
2302886518	1826467748
1025562860	2302886518
505367996	1025562860
1070573524	505367996
3481386811	1070573524
4355049343	3481386811
505368453	4355049343
5241196897	505368453
5241197539	5241196897
5241188372	5241197539
5241191015	5241188372
3616594348	5241191015
3481386812	3616594348
3481386813	3481386812
985057383	3481386813
1500458366	985057383
4087692842	1500458366
4555415842	4087692842
1491177966	4555415842
2875397450	1491177966
1491177963	2875397450
2875325588	1491177963
181290017	2875325588
2875325587	181290017
892665065	2875325587
