from,to,path
cluster indices,"[0, 12, 9, 21, 23, 28, 31, 38, 7, 10, 18, 13, 16, 44, 33, 11, 19, 49, 1, 40, 30, 41, 8, 22, 34, 35, 26, 3, 6, 4, 29, 5, 48, 15, 32, 46, 20, 36, 17, 43, 25, 27, 37]"
6636719628,771597846,"[771597846, 1768486810, 747722336, 175054407, 740705362, 2270104790, 767812973, 476283392, 750352525, 704288814, 1989774318, 718887440, 220659131, 718887471, 993583505, 793883687, 944999490, 7323072915, 1353637294, 793883470, 793883466, 703571069, 176277599, 704313274, 773458355, 911644141, 795512379, 795512248, 4161689717, 748779874, 198655214, 795512124, 795512144, 1341958280, 1739276961, 694119864, 6761168426, 782289553, 175119648, 5646928766, 477653901, 5646928765, 175118129, 1242978332, 3513904447, 6482529151, 895443016, 176197027, 776534915, 176197025, 176197024, 1245159303, 176197023, 694093216, 694468286, 679117154, 986323921, 176197019, 2885181135, 4365717660, 176197018, 4365580484, 1441878395, 590018652, 2374550814, 2374550817, 2374550826, 2374550828, 924289041, 674928833, 459501026, 1615447113, 1615447133, 1648199420, 1853830344, 1853830366, 5170573150, 175136136, 1853830367, 1853830368, 674928827, 6928822064, 6928822067, 6581418408, 6928822066, 6928822065, 1853830375, 1853830378, 2210410059, 1204230043, 1204230031, 4538165802, 4538165801, 4538165800, 4538165799, 1204230016, 1204229986, 1204230039, 1853830380, 4085470977, 6636719628]"
3639654684,771597846,"[771597846, 1768486810, 747722336, 175054407, 747722378, 793142317, 2924608798, 2270104649, 6473471204, 3639645613, 847530101, 175054406, 748779902, 793882464, 175054405, 490596679, 2351971123, 1809083954, 1271727500, 4346949759, 598701740, 416564071, 175054404, 847531497, 3639654684]"
1867139126,771597846,"[771597846, 3639641978, 740705348, 175054408, 807556849, 2351239237, 223291355, 807556906, 175054409, 2351239268, 175048165, 1387234850, 4355578110, 1030347398, 2908690121, 4355578109, 1387213394, 3881489234, 1387213395, 708414883, 175048160, 410047434, 1520630271, 846139191, 1195280674, 175048158, 1804730437, 708415063, 175040709, 1446825390, 410060112, 1446825391, 866626851, 175040705, 866626790, 942723473, 942723430, 1332437461, 1332437455, 1332437459, 1342933735, 1332437454, 1332437449, 1332437457, 1332437452, 2373271367, 1447132466, 686158310, 410067527, 686160568, 686160593, 2058071290, 360181861, 2058071293, 708415117, 5723892317, 760178712, 410402587, 5935175072, 1279094794, 2788642078, 4362416596, 410046548, 2429313139, 2429313142, 2429313145, 2429313146, 694038525, 1768478912, 694038538, 701682417, 663881703, 410058120, 803415331, 533589169, 6952006317, 704275968, 6952006312, 567346693, 410058305, 761372472, 708319934, 2918119317, 703284441, 1699781346, 1699781350, 1699781356, 1699781363, 595755424, 5402950551, 999470855, 725264566, 703284446, 725264568, 595755427, 176279662, 598054719, 605439425, 712088929, 319525171, 725268680, 710668910, 631813150, 3609579605, 3609579606, 990041385, 598054726, 176188559, 792224067, 2086979289, 176279663, 724916519, 3263470211, 176279664, 176279665, 176279666, 3263470212, 3263470213, 176279667, 3609554652, 831611241, 6449680421, 3313560562, 476276888, 3313560561, 831611222, 598054912, 873731147, 476276942, 1867136925, 1867123165, 410953411, 1180483143, 414567990, 414567991, 1867136910, 414567992, 1867139126]"
600528773,771597846,"[771597846, 3639641978, 740705348, 175054408, 807556849, 2351239237, 223291355, 807556906, 175054409, 2351239268, 175048165, 1387234850, 4355578110, 1030347398, 2908690121, 4355578109, 1387213394, 3881489234, 1387213395, 708414883, 175048160, 410047434, 1520630271, 846139191, 1195280674, 175048158, 1804730437, 708415063, 175040709, 1446825390, 410060112, 1446825391, 866626851, 175040705, 866626790, 942723473, 942723430, 1332437461, 1332437455, 1332437459, 1342933735, 1332437454, 1332437449, 1332437457, 1332437452, 2373271367, 1447132466, 686158310, 410067527, 686160568, 686160593, 2058071290, 360181861, 2058071293, 708415117, 5723892317, 760178712, 410402587, 5935175072, 1279094794, 2788642078, 4362416596, 410046548, 2429313139, 2429313142, 2429313145, 2429313146, 694038525, 1768478912, 694038538, 701682417, 663881703, 410058120, 803415331, 533589169, 6952006317, 704275968, 6952006312, 567346693, 410058305, 761372472, 708319934, 2918119317, 703284441, 1699781346, 1699781350, 1699781356, 1699781363, 1699781387, 1699781391, 1699781403, 710333855, 474431407, 710340601, 760953106, 4467629158, 605440955, 710340578, 5566471643, 1464784317, 1005013637, 175126202, 1464784325, 710333758, 1005013662, 175126204, 410413679, 4362401884, 802046222, 175126208, 904951661, 802046299, 904951607, 175127329, 802046342, 715016038, 528732051, 1532813275, 802058128, 409766060, 1643995408, 1706581736, 1643995419, 179406613, 715016027, 600528773]"
175124189,771597846,"[771597846, 3639641978, 740705348, 175054408, 807556849, 2351239237, 223291355, 807556906, 175054409, 2351239268, 175048165, 1387234850, 4355578110, 1030347398, 2908690121, 4355578109, 1387213394, 3881489234, 1387213395, 708414883, 175048160, 410047434, 1520630271, 846139191, 1195280674, 175048158, 1804730437, 708415063, 175040709, 803415497, 5937447979, 5586897606, 5937447974, 3742521291, 5937449498, 663881700, 410058117, 664070914, 6033421881, 1241599792, 6033421870, 913068526, 913068598, 6033421856, 5586897599, 212559728, 6858499766, 1241599794, 1241599828, 990224938, 5586897596, 5586897593, 990224940, 5586897587, 663838731, 176277604, 1971425483, 212559545, 1971425529, 993763525, 993763596, 1971425543, 993763504, 993763513, 1971425573, 993763640, 993763533, 473603328, 410059675, 5026452262, 638671514, 410968174, 3215618357, 2351239260, 3706390529, 411226195, 220497815, 3684358044, 802052861, 1585537476, 762448646, 175124192, 762448678, 3210491160, 802052867, 175124190, 802052866, 2351239252, 710333756, 4362401878, 5566471632, 1464784321, 175124189]"
4353602424,771597846,"[771597846, 3639641978, 740705348, 175054408, 807556849, 2351239237, 223291355, 807556906, 175054409, 2351239268, 175048165, 1387234850, 4355578110, 1030347398, 2908690121, 4355578109, 1387213394, 3881489234, 1387213395, 708414883, 175048160, 410047434, 1520630271, 846139191, 1195280674, 175048158, 1804730437, 708415063, 175040709, 1446825390, 410060112, 1446825391, 866626851, 175040705, 866626790, 942723473, 942723430, 1332437461, 1332437455, 1332437459, 1342933735, 1332437454, 1332437449, 1332437457, 1332437452, 2373271367, 1447132466, 686158310, 410067527, 686160568, 686160593, 2058071290, 360181861, 2058071293, 708415117, 5723892317, 760178712, 410402587, 5935175072, 1279094794, 2788642078, 1279094812, 4362416590, 2887218094, 2373232702, 2373232700, 686160609, 3489661381, 3489661373, 2373232696, 641912335, 695187881, 410046808, 6794335849, 410056356, 803415854, 293106130, 803415948, 1971425473, 530575445, 459503013, 1971425451, 4353602424]"
2339120997,771597846,"[771597846, 3639641978, 740705348, 175054408, 807556849, 2351239237, 223291355, 807556906, 175054409, 2351239268, 175048165, 1387234850, 1387234846, 1387213385, 1387234840, 1387213382, 1387213376, 212609457, 212609456, 1615248064, 2307214105, 866626622, 225604300, 866626944, 1615227523, 2307214095, 866626598, 225658109, 866626939, 747702513, 1615228071, 1991814287, 1990659740, 1145529161, 742221451, 1145529143, 747702500, 1764090624, 1278990849, 742221434, 866626707, 225658112, 807615517, 4625250963, 2068584452, 3514094828, 2471636809, 807615524, 212641540, 2068584504, 2471636810, 2339120979, 3514094829, 212642551, 3813615494, 3711914797, 1636383781, 212641538, 2339120997]"
3742521291,771597846,"[771597846, 3639641978, 740705348, 175054408, 807556849, 2351239237, 223291355, 807556906, 175054409, 2351239268, 175048165, 1387234850, 4355578110, 1030347398, 2908690121, 4355578109, 1387213394, 3881489234, 1387213395, 708414883, 175048160, 410047434, 1520630271, 846139191, 1195280674, 175048158, 1804730437, 708415063, 175040709, 803415497, 5937447979, 5586897606, 5937447974, 3742521291]"
871860615,771597846,"[771597846, 3639641978, 740705348, 175054408, 807556849, 2351239237, 223291355, 807556906, 175054409, 2351239268, 175048165, 1387234850, 4355578110, 1030347398, 2908690121, 4355578109, 1387213394, 3881489234, 1387213395, 708414883, 175048160, 410047434, 1520630271, 846139191, 1195280674, 175048158, 1804730437, 708415063, 175040709, 1446825390, 410060112, 1446825391, 866626851, 175040705, 866626790, 942723473, 942723430, 1332437461, 1332437455, 1332437459, 1342933735, 1332437454, 1332437449, 1332437457, 1332437452, 2373271367, 1447132466, 686158310, 410067527, 686160568, 686160593, 2058071290, 360181861, 2058071293, 708415117, 5723892317, 760178712, 410402587, 5935175072, 1279094794, 2788642078, 4362416596, 410046548, 2429313139, 760178716, 672581140, 6013359561, 220461189, 611049702, 611054060, 319524893, 611054261, 696300133, 703046685, 803414565, 319524895, 611049709, 412146051, 2912445253, 2912445252, 319524896, 681168116, 895841239, 410053826, 681205544, 410053825, 681205543, 684014896, 319524908, 895841196, 3518913446, 225604283, 220470133, 611055444, 697320324, 590252771, 937804099, 220470138, 997943944, 2101948706, 3822446159, 3224872785, 3194360831, 922829904, 2915812431, 991300025, 2604140550, 2604140549, 1185494724, 220469575, 5497149829, 521678895, 497504772, 220469213, 220469233, 3607111095, 3607111096, 220469230, 220469234, 412224917, 628550860, 3607042589, 3607042588, 175266290, 619059177, 319893997, 3822992671, 3822992672, 319893904, 6341680774, 5905587559, 175266309, 907022276, 636911318, 3194360833, 175266312, 175266315, 1393925372, 1980587918, 175266317, 176162844, 176162846, 176162849, 636903506, 175270032, 1393925375, 1980693545, 175271082, 1980693547, 1393925376, 175271084, 176162852, 2874205505, 179598075, 2874205503, 432573905, 871860615]"
