from,to,path
cluster indices,"[0, 12, 9, 21, 23, 28, 31, 38, 7, 10, 18, 13, 16, 44, 33, 11, 19, 49]"
229201081,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 842917346, 2210410052, 623819032, 1111364921, 1111364906, 410950244, 192192660, 791267591, 494064139, 1054364542, 192196883, 192196884, 192196885, 667173302, 1511134622, 1511134530, 1511134563, 445428129, 5417963053, 1511134343, 653379391, 1479407321, 1511134328, 2210410049, 1479400995, 1479400992, 1479407318, 1479400990, 1479400988, 1479400986, 1479400984, 1479400983, 1446334341, 477361333, 1344162092, 1344162070, 4433715412, 192203114, 4433715408, 4433715404, 192202835, 1344162088, 2351239272, 1344162084, 1344162095, 475991740, 480163139, 2921630974, 2921630977, 480163135, 480163144, 668987077, 1337181370, 1337181357, 2918158177, 176279670, 857052625, 907030070, 1768465255, 892259857, 1768465210, 1616742633, 1768465205, 1768465200, 410956449, 5922257400, 6351765987, 5922257395, 1616742604, 1616742591, 1616742521, 4428847482, 410956447, 2879488162, 655281116, 1867123235, 179463002, 2531721079, 179462999, 4858887108, 6351765992, 1616746772, 1340861167, 973642840, 3171988261, 907030048, 179460367, 179460670, 5368142637, 973645727, 2210410060, 2916937114, 3965253344, 179462998, 907021993, 1860887522, 179462996, 179462995, 1856633273, 1980587929, 907022036, 179462993, 973643112, 983060324, 871860615, 432573905, 2874205503, 179598075, 2210410048, 175267781, 175267782, 2915812426, 504317249, 175266312, 3194360833, 636911318, 907022276, 175266309, 1447132449, 229201118, 1620382085, 229201068, 229201070, 229201072, 4403761416, 1256869962, 229201073, 4403761410, 229201074, 229201076, 1980693357, 229201077, 600678464, 229209002, 4403761857, 1620382057, 3068257648, 1620382086, 3068254323, 1620382019, 1620382047, 229201081]"
3602670730,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 842917346, 2210410052, 623819032, 1111364921, 1111364906, 410950244, 192192660, 791267591, 494064139, 1054364542, 192196883, 192196884, 192196885, 667173302, 1511134622, 1511134530, 1511134563, 445428129, 791267726, 1511134123, 1511134240, 1511134132, 1511134209, 3397184545, 1511134159, 1511134141, 575723229, 445428494, 824367893, 179408141, 1306509452, 3205928663, 3205919551, 1306509900, 3205928666, 3205919549, 3205928670, 3205928669, 3562623696, 470351901, 457422373, 2224695399, 457422374, 1306509541, 179457578, 3205904454, 470351548, 3205904453, 3205904452, 3205904451, 3205904450, 3205904449, 470351547, 410983326, 1483045606, 1483045607, 3609471543, 1483045611, 3205904431, 3205904434, 1483045613, 3205904435, 3205904438, 1483045626, 1483045627, 1483045628, 2919980920, 2919980921, 1483045632, 1483045633, 886669193, 3077060572, 1306509934, 886669216, 886669184, 886669173, 458756764, 458756765, 1653942027, 458757590, 458757593, 1723684807, 458757595, 804657816, 871025864, 871025871, 3605048964, 3605048965, 843016225, 1259141081, 843016226, 1259140954, 1259140985, 1259140931, 1259141053, 3605048982, 3605048984, 3605048985, 764083612, 268280140, 2984556995, 747717422, 3077985673, 2874210508, 268280141, 2409363869, 2874210509, 2874210510, 268280142, 2874210512, 2874210511, 268280143, 2874210513, 804964274, 268280144, 768987665, 1770203455, 6961700301, 2470123504, 3077985674, 763952347, 1770203454, 268280145, 268280146, 763952022, 763952408, 763952191, 806867386, 806867322, 806867305, 365148407, 2409363857, 2409363848, 2409363842, 268280147, 365148877, 2730688083, 3077985672, 6961698126, 268280148, 365149002, 268280149, 663362428, 663362429, 663362430, 663362427, 175276967, 3899564066, 175276968, 175276970, 806867287, 806867350, 175276972, 175276973, 3605048986, 3077985675, 3602675053, 3602675052, 175276975, 186368571, 805462294, 3488366566, 804963878, 186368666, 186368671, 186368529, 175276979, 186368349, 3602672173, 175276982, 432575467, 175276983, 432577978, 3602670710, 175276984, 458754024, 175276986, 458754203, 835437514, 432578646, 3602670697, 3602670698, 3602670699, 3602670700, 3602670706, 3602670701, 3602670705, 3602670702, 3602670704, 3602670703, 3602670696, 432578726, 3602670707, 432578727, 432578728, 175281739, 3602670708, 175281740, 3602670709, 517730664, 175281741, 3602670711, 432577084, 175281742, 3602670728, 3602670729, 175281744, 175281745, 3602670730]"
418996819,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 4346992914, 915445228, 409773017, 768520302, 2223135282, 1616510340, 538716090, 3869500993, 842917433, 842917593, 842917599, 411232472, 1652143808, 702490799, 2223135287, 1412621806, 915445229, 1412621810, 411232476, 459514926, 1652143849, 842933475, 418999307, 1513816412, 932531921, 1434834736, 1513816032, 2210410047, 842933461, 176134383, 842928715, 3867563675, 2302886524, 870264485, 459465074, 944789442, 929984109, 2202852821, 2636694963, 242545420, 2637591559, 2637542246, 1417142996, 2637591586, 720403978, 1417143178, 720403977, 2637627208, 242545418, 242545417, 1607709900, 1843525969, 1514372023, 2474266504, 1025871620, 242545415, 900998848, 242545414, 662638180, 242545413, 2912272002, 914231509, 242545412, 2993917541, 662638158, 242545411, 242545410, 914256720, 242545409, 242545408, 720403554, 1191870722, 242545406, 242545404, 1828876123, 242545403, 1828876125, 242545390, 5217914427, 242545389, 1191870719, 242545388, 242545387, 242545386, 662638403, 914231519, 242545385, 242545363, 242545362, 242545361, 914231500, 1191870778, 1129288391, 1129288394, 3423573215, 2472754295, 175394249, 919334010, 919334009, 2317173570, 2370717577, 4138716858, 2317173571, 2317173572, 4388678957, 4388678946, 4388680871, 4388680872, 4388680870, 2370728465, 2370728461, 2370728470, 2370728475, 192267452, 1191870777, 192267451, 192267449, 5935507149, 1908849171, 1387113990, 1908849181, 412748260, 1870624727, 2371531972, 2371531974, 4432126017, 4432126001, 2425897974, 2371531987, 2371531991, 1263184413, 2371584161, 2371584162, 2371584163, 2371584167, 2371584171, 412748259, 1512465205, 412748262, 2371811941, 1335394622, 1335394617, 2330265425, 2514860386, 412749998, 2514860385, 3483740495, 3483740494, 3229508984, 176342193, 3255171397, 2330265394, 2498315368, 826190562, 3483843868, 826190552, 3483843867, 669994945, 176342189, 669994943, 826190599, 826190618, 176342187, 826190570, 2875953742, 418997388, 3488322350, 2874309595, 458910555, 2875985027, 3488322349, 2865900913, 826219822, 1273214060, 176342185, 3488637450, 2875949837, 418996819]"
3172215061,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 4346992914, 915445228, 409773017, 842917436, 3867563674, 1507014289, 991836558, 409773022, 2870177555, 3867563671, 2870177564, 409773023, 2870177569, 3867563672, 3545223672, 670649315, 2037098179, 3545223671, 3797875954, 3867563666, 1513819263, 409773024, 1005034329, 1132072896, 2929464688, 2733355245, 418999311, 3172215062, 3172215061]"
3867563671,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 4346992914, 915445228, 409773017, 842917436, 3867563674, 1507014289, 991836558, 409773022, 2870177555, 3867563671]"
842917346,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 842917346]"
1000783919,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 4346992914, 915445228, 409773017, 768520302, 2223135282, 1616510340, 538716090, 3869500993, 842917433, 842917593, 842917599, 411232472, 1652143808, 702490799, 2223135287, 1412621806, 915445229, 1412621810, 411232476, 459514926, 1652143849, 842933475, 418999307, 1513816412, 932531921, 1434834736, 1513816032, 2210410047, 842933461, 176134383, 842928715, 3867563675, 2302886524, 870264485, 459465074, 944789442, 929984109, 2202852821, 2636694963, 242545420, 2637591559, 2637542246, 1417142996, 2637591586, 720403978, 1417143178, 720403977, 2637627208, 242545418, 242545417, 1607709900, 1843525969, 1514372023, 2474266504, 1025871620, 242545415, 900998848, 242545414, 662638180, 242545413, 2912272002, 914231509, 242545412, 2993917541, 662638158, 242545411, 242545410, 914256720, 242545409, 242545408, 720403554, 1191870722, 242545406, 242545404, 1828876123, 242545403, 1828876125, 242545390, 5217914427, 242545389, 1191870719, 242545388, 242545387, 242545386, 662638403, 914231519, 242545385, 242545363, 242545362, 242545361, 914231500, 1191870778, 1129288391, 1129288394, 3423573215, 2472754295, 175394249, 919334010, 919334009, 2317173570, 4355036004, 1426481392, 412748265, 4355036012, 1426481393, 2317173574, 2370717595, 4138267294, 175394246, 3278189900, 3278189901, 175394245, 503196300, 175394243, 1511400455, 1446809507, 3576280314, 3076192916, 488088176, 431197451, 612965979, 175394239, 195063011, 175394236, 1163857482, 1446809502, 175394234, 175394233, 1870633385, 175394232, 412944979, 1704089523, 175394230, 2326818797, 1023991234, 435406455, 1025563464, 175394227, 1025562901, 5737554689, 181288149, 1070573551, 2326818792, 195056538, 1251323834, 1251323833, 175394223, 1024774267, 1346179961, 175394221, 1070573348, 175394220, 4432008013, 1970341288, 937138718, 910868912, 3658393229, 1193092349, 175394217, 1193092494, 2301571124, 1033398240, 993633625, 175394216, 993633547, 175394214, 175391049, 937138840, 175391048, 1268383128, 2327055467, 1003932762, 413756281, 1003933075, 2302886522, 1016399035, 1016398999, 1342210498, 516224341, 914761632, 516223547, 914761584, 941232610, 412504949, 1000783919]"
998600377,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 4346992914, 915445228, 409773017, 768520302, 2223135282, 1616510340, 538716090, 3869500993, 842917433, 842917593, 842917599, 411232472, 1652143808, 702490799, 2223135287, 1412621806, 915445229, 1412621810, 411232476, 459514926, 1652143849, 842933475, 418999307, 1513816412, 932531921, 1434834736, 1513816032, 2210410047, 842933461, 176134383, 842928715, 3867563675, 2302886524, 870264485, 459465074, 944789442, 929984109, 2202852821, 2636694963, 242545420, 2637591559, 2637542246, 1417142996, 2637591586, 720403978, 1417143178, 720403977, 2637627208, 242545418, 242545417, 1607709900, 1843525969, 1514372023, 2474266504, 1025871620, 242545415, 900998848, 242545414, 662638180, 242545413, 2912272002, 914231509, 242545412, 2993917541, 662638158, 242545411, 242545410, 914256720, 242545409, 242545408, 720403554, 1191870722, 242545406, 242545404, 1828876123, 242545403, 1828876125, 242545390, 5217914427, 242545389, 1191870719, 242545388, 242545387, 242545386, 662638403, 914231519, 242545385, 242545363, 242545362, 242545361, 914231500, 1191870778, 1129288391, 1129288394, 3423573215, 2472754295, 175394249, 919334010, 919334009, 2317173570, 4355036004, 1426481392, 412748265, 4355036012, 1426481393, 2317173574, 2370717595, 4138267294, 175394246, 3278189900, 3278189901, 175394245, 503196300, 175394243, 1511400455, 1446809507, 3576280314, 3076192916, 488088176, 431197451, 612965979, 175394239, 195063011, 175394236, 1163857482, 1446809502, 175394234, 175394233, 1870633385, 175394232, 412944979, 1704089523, 175394230, 2326818797, 1023991234, 435406455, 1025563464, 175394227, 1025562901, 5737554689, 181288149, 1070573551, 2326818792, 195056538, 1251323834, 1251323833, 175394223, 1024774267, 1346179961, 175394221, 1070573348, 175394220, 4432008013, 1970341288, 937138718, 910868912, 3658393229, 1193092349, 175394217, 937138424, 1719484697, 1003932187, 3700589382, 3700589379, 1003932782, 6884665352, 611808913, 3700589378, 3700589383, 3858432979, 1003932455, 1003932801, 1003933213, 611808910, 3700598019, 998600117, 998600377]"
1984002407,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 4346992914, 915445228, 409773017, 768520302, 2223135282, 1616510340, 538716090, 3869500993, 842917433, 842917593, 842917599, 411232472, 1652143808, 702490799, 2223135287, 1412621806, 915445229, 1412621810, 411232476, 459514926, 1652143849, 842933475, 418999307, 1513816412, 932531921, 1434834736, 1513816032, 2210410047, 842933461, 176134383, 842928715, 3867563675, 2302886524, 870264485, 459465074, 944789442, 929984109, 2202852821, 2636694963, 242545420, 2637591559, 2637542246, 1417142996, 2637591586, 720403978, 1417143178, 720403977, 2637627208, 242545418, 242545417, 1607709900, 1843525969, 1514372023, 2474266504, 1025871620, 242545415, 900998848, 242545414, 662638180, 242545413, 2912272002, 914231509, 242545412, 2993917541, 662638158, 242545411, 242545410, 914256720, 242545409, 242545408, 720403554, 1191870722, 242545406, 242545404, 1828876123, 242545403, 1828876125, 242545390, 5217914427, 242545389, 1191870719, 242545388, 242545387, 242545386, 662638403, 914231519, 242545385, 242545363, 242545362, 242545361, 914231500, 1191870778, 1129288391, 1129288394, 3423573215, 2472754295, 175394249, 919334010, 919334009, 2317173570, 4355036004, 1426481392, 412748265, 4355036012, 1426481393, 2317173574, 2370717595, 4138267294, 175394246, 3278189900, 3278189901, 175394245, 503196300, 175394243, 1511400455, 1446809507, 3576280314, 3076192916, 488088176, 431197451, 612965979, 175394239, 195063011, 175394236, 1163857482, 1446809502, 175394234, 175394233, 1870633385, 175394232, 5737554687, 412944989, 1870596396, 767818535, 3467473935, 4457381503, 1168430734, 1168430696, 1168430739, 4457381506, 412946802, 3318424939, 412944959, 3467499192, 1910982315, 1502599530, 3023753401, 1910982319, 972252726, 433731409, 3318424954, 1492990525, 3046708163, 433732461, 433732467, 1447730233, 192267432, 1503609949, 1387132518, 1503609962, 1984002407]"
sum,42611.47400000001
