from,to,path
cluster indices,"[0, 12, 9, 21, 23, 28, 31, 38, 7, 10, 18, 13, 16, 44, 33, 11, 19, 49, 1, 40, 30, 41, 8, 22, 34, 35, 26]"
6636719628,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 894540357, 1614242473, 894540304, 410053827, 412343007, 1614260803, 1614260798, 1614260811, 1614260809, 684014898, 319524908, 684014896, 681205543, 410053825, 681205544, 410053826, 895841239, 681168116, 319524896, 2912445252, 2912445253, 412146051, 611049709, 319524895, 803414565, 703046685, 696300133, 611054261, 319524893, 611054130, 6896738859, 605430224, 605430216, 674115266, 6896738860, 6896738861, 803415055, 319524890, 674115301, 611049631, 611049613, 605434933, 410046813, 708318360, 703285596, 991091541, 1013790171, 954713696, 595755429, 176279662, 598054715, 725300008, 708319482, 2388525878, 5096924040, 410201396, 605439481, 410046811, 417750657, 417750656, 1989247010, 599908641, 175126208, 904951661, 802046299, 904951607, 175127329, 802046226, 528796256, 528796265, 175127330, 1014500728, 1005013663, 710333727, 5566471635, 1466585921, 3210491131, 175127331, 4362402889, 1005013635, 1464784331, 5566471106, 1464784335, 410194944, 880119990, 2351239238, 988962487, 802058260, 409740819, 567379460, 795964341, 802058195, 360181866, 567379461, 1848163362, 179406616, 4938927002, 795964333, 762448628, 317649456, 737808209, 795964322, 737807481, 795964350, 737807615, 599597199, 176180273, 763386006, 3711976333, 3711976332, 898963169, 360179822, 599597194, 816417505, 1080431991, 921194305, 360179821, 645146705, 694062895, 1080431987, 2962927949, 2381161376, 645146646, 360177841, 707112443, 3640542199, 3640542198, 1032766822, 360177840, 769828065, 769828048, 1102699993, 3640542200, 360177800, 3640542201, 1071054477, 4552081587, 768224422, 983588872, 571813112, 4552081588, 724926972, 943984328, 360177589, 1071054492, 769827840, 360177510, 891397410, 1616497564, 2321320276, 1616497563, 1720734263, 942609398, 360177588, 1720734273, 1382943448, 1360711190, 891397440, 175136140, 2051670612, 1616497557, 3774755622, 1204230041, 4538165803, 4538165799, 1204230016, 1204229986, 1204230039, 1853830380, 4085470977, 6636719628]"
3639654684,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 894540357, 1614242473, 894540304, 410053827, 4353602418, 3220211267, 611528407, 1123544194, 928002582, 319525894, 605421069, 605421107, 825440832, 293106029, 230710523, 928001300, 685035018, 6824854859, 410056359, 6823202757, 6824854860, 230710522, 806396377, 686183182, 2989674518, 668952207, 668952212, 1352399615, 637050004, 866713469, 866713470, 2652070038, 2652070046, 750390254, 410056358, 3514100852, 3701676381, 750390001, 225604290, 750390129, 3514100851, 1108653903, 6010618445, 1344686793, 6010618466, 225604293, 6010618467, 4006840293, 410062604, 410062605, 6684811656, 293107382, 807615544, 6736457109, 760261946, 6736437446, 6736437442, 1991814307, 225658109, 866626598, 2307214095, 1615227523, 866626944, 225604300, 708414906, 1615251772, 4937881712, 740705334, 223291357, 913118169, 225648110, 750355180, 1615248066, 724896213, 5027780475, 223291356, 724896212, 807556834, 708414897, 223291355, 2351239237, 807556849, 175054408, 740705348, 3639641978, 771597846, 1768486810, 747722336, 175054407, 747722378, 793142317, 2924608798, 2270104649, 6473471204, 3639645613, 847530101, 175054406, 748779902, 793882464, 175054405, 490596679, 2351971123, 1809083954, 1271727500, 4346949759, 598701740, 416564071, 175054404, 847531497, 3639654684]"
1867139126,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 895841096, 1601981057, 1601981051, 1971425385, 894540371, 176188570, 894540361, 176188569, 4297959151, 895841075, 3785630552, 894540298, 230710525, 894540311, 1614260806, 937804216, 1614260802, 611055463, 220470133, 611055461, 679993525, 3224872790, 1349112686, 6542170209, 611055456, 3224872793, 1349141007, 3194360849, 3194360852, 611054284, 220464469, 803414525, 176188564, 901158437, 1242108477, 497504768, 1242108484, 3224872791, 176188561, 470135109, 3194360839, 410208509, 2993912382, 176188560, 410198761, 1643995389, 176188559, 792224067, 2086979289, 176279663, 724916519, 3263470211, 176279664, 176279665, 176279666, 3263470212, 3263470213, 176279667, 3609554652, 831611241, 6449680421, 3313560562, 476276888, 3313560561, 831611222, 598054912, 873731147, 476276942, 1867136925, 1867123165, 410953411, 1180483143, 414567990, 414567991, 1867136910, 414567992, 1867139126]"
600528773,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 895841096, 1601981057, 1601981051, 1971425385, 894540371, 176188570, 894540361, 176188569, 4297959151, 895841075, 3785630552, 894540298, 230710525, 894540311, 1614260806, 937804216, 1614260802, 611055463, 220470133, 611055461, 679993525, 3224872790, 1349112686, 6542170209, 611055456, 3224872793, 1349141007, 3194360849, 3194360852, 611054284, 220464469, 803414525, 176188564, 901158437, 1242108477, 497504768, 1242108484, 3224872791, 176188561, 470135109, 3194360839, 410208509, 2993912382, 176188560, 410198761, 1643995389, 176188559, 803414641, 3224872787, 176188558, 474427737, 474427751, 474427712, 413451788, 904958300, 904958269, 413451787, 662932249, 942273000, 662932253, 942273003, 792217681, 942272996, 613597920, 176188555, 613597921, 600528772, 600528773]"
175124189,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 894540357, 1614242473, 894540304, 410053827, 412343007, 1614260803, 1614260798, 1614260811, 1614260809, 684014898, 319524908, 684014896, 681205543, 410053825, 681205544, 410053826, 895841239, 681168116, 319524896, 2912445252, 2912445253, 412146051, 611049709, 319524895, 803414565, 703046685, 696300133, 611054261, 319524893, 611054130, 6896738859, 605430224, 605430216, 674115266, 6896738860, 6896738861, 803415055, 319524890, 674115301, 611049631, 611049613, 605434933, 410046813, 708318360, 703285596, 991091541, 1013790171, 954713696, 595755429, 176279662, 598054715, 725300008, 708319482, 2388525878, 5096924040, 410201396, 605439481, 410046811, 417750657, 417750656, 1989247010, 599908641, 175126208, 904951661, 802046299, 904951607, 175127329, 802046226, 528796256, 528796265, 175127330, 1014500728, 1005013663, 710333727, 5566471635, 1466585921, 3210491131, 175127331, 4362401883, 5566471103, 4362401882, 175129445, 4362401880, 1464784327, 1464784323, 4362401876, 175124189]"
4353602424,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 894540357, 1614242473, 894540304, 410053827, 4353602418, 3220211267, 611528407, 1123544194, 928002582, 319525894, 605421069, 605421107, 825440832, 293106029, 803416030, 685035025, 459503013, 1971425451, 4353602424]"
2339120997,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 895841096, 1601981057, 1601981051, 1971425385, 894540371, 176188570, 894540381, 1601981055, 895814940, 176188571, 176188572, 176188846, 176188847, 2126776924, 4266758914, 2126776920, 5573350805, 176188850, 176188851, 2127709109, 6489384506, 176188854, 5573350807, 411732583, 3158022307, 176195117, 3754575452, 176195118, 176195119, 5573159159, 839926893, 176301558, 2884663915, 3754572222, 319529728, 2883155337, 6953756243, 598408648, 176195120, 866626713, 2883155349, 674538391, 2045030882, 742255087, 212641538, 2339120997]"
3742521291,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 894540357, 1614242473, 894540304, 410053827, 412343007, 1614260803, 1614260798, 1614260811, 1614260809, 684014898, 319524908, 684014896, 681205543, 410053825, 681205544, 410053826, 895841239, 681168116, 319524896, 2912445252, 2912445253, 412146051, 611049709, 319524895, 803414565, 703046685, 696300133, 611054261, 319524893, 611054060, 611049702, 220461189, 6013359561, 672581140, 760178716, 2429313139, 410046548, 4362416596, 2788642078, 1279094794, 5935175072, 410402587, 760178712, 5723892317, 708415117, 2058071293, 360181861, 2058071290, 686160593, 686160568, 410067527, 686158310, 1447132466, 2373271367, 1332437452, 1332437462, 1332437460, 1342933734, 1332437451, 1332437453, 1332437461, 942723430, 942723473, 866626790, 175040705, 866626851, 1446825391, 410060112, 1446825390, 175040709, 803415497, 5937447979, 5586897606, 5937447974, 3742521291]"
871860615,1005030600,"[1005030600, 996179004, 605416210, 895814993, 895815046, 4353602397, 410053831, 895841096, 1601981057, 1601981051, 1971425385, 894540371, 176188570, 894540361, 176188569, 4297959151, 895841075, 3785630552, 894540298, 230710525, 894540311, 1614260806, 937804216, 1614260802, 611055463, 220470133, 611055444, 697320324, 590252771, 937804099, 220470138, 997943944, 2101948706, 3822446159, 3224872785, 3194360831, 922829904, 2915812431, 991300025, 2604140550, 2604140549, 1185494724, 220469575, 5497149829, 521678895, 497504772, 220469213, 220469233, 3607111095, 3607111096, 220469230, 220469234, 412224917, 628550860, 3607042589, 3607042588, 175266290, 619059177, 319893997, 3822992671, 3822992672, 319893904, 6341680774, 5905587559, 175266309, 907022276, 636911318, 3194360833, 175266312, 175266315, 1393925372, 1980587918, 175266317, 176162844, 176162846, 176162849, 636903506, 175270032, 1393925375, 1980693545, 175271082, 1980693547, 1393925376, 175271084, 176162852, 2874205505, 179598075, 2874205503, 432573905, 871860615]"
