from,to,length,path
6636719628,1412634107,2484.9889999999996,"[6636719628, 4085470977, 1853830380, 1204230039, 1204229986, 1204230016, 4538165799, 4538165803, 1204230041, 3774755622, 1616497557, 2051670612, 175136140, 891397440, 1360711190, 1382943448, 1720734273, 360177588, 942609398, 1720734263, 1616497563, 2321320276, 1616497564, 891397410, 360177510, 769827840, 1071054492, 360177589, 943984328, 724926972, 4552081588, 571813112, 983588872, 768224422, 4552081587, 1071054477, 3640542201, 360177800, 3640542200, 1102699993, 769828048, 769828065, 360177840, 1032766822, 3640542198, 3640542199, 707112443, 360177841, 645146646, 2381161376, 2962927949, 1080431987, 694062895, 645146705, 360179821, 921194305, 1080431991, 816417505, 599597194, 360179822, 898963169, 3711976332, 3711976333, 763386006, 176180273, 763375431, 3718810171, 2046596502, 2045030868, 763375388, 763386390, 175129449, 1412634110, 1412634104, 3684358044, 220497815, 1412634107]"
1623631206,1412634107,10414.917,"[1623631206, 412182177, 981969506, 981969505, 981969504, 981969503, 430316351, 2463405997, 430316353, 2884909074, 4347297174, 412184941, 412183536, 999099001, 6355139470, 6355139469, 412183537, 411829199, 4158902081, 411829198, 4422004676, 4158902073, 4158902074, 6307849408, 411829197, 1918379287, 1103056157, 411829196, 411829195, 879368407, 411829194, 7161678351, 1918379378, 411829193, 1607970313, 1607970365, 825443861, 179399605, 825443859, 7161678343, 825444071, 7161678348, 825443119, 179399603, 7161678347, 528024228, 7161678349, 411827206, 1617654071, 1188750662, 1617654021, 1188750523, 825443116, 4347298032, 4347298033, 176169911, 3392558130, 176169912, 1082041809, 176169913, 176169914, 176169915, 411722001, 176169916, 1188750678, 176169917, 2154033733, 176169918, 825443249, 3392545729, 176169920, 1188750515, 3392545730, 176169921, 176169922, 176169923, 939957998, 176169924, 931540612, 176169925, 1154170407, 176169926, 931540544, 4347321628, 4347321633, 176169927, 1487547356, 176169928, 1660291045, 568020070, 176147433, 4347321652, 568020069, 568020068, 931540577, 568020067, 411824618, 606205077, 606205076, 3612986547, 176157983, 858012979, 212654521, 858012980, 2467638655, 1190677217, 3689292856, 3688368769, 4908913158, 4908913159, 3342209641, 5077348402, 176157986, 2318880867, 2337928931, 2318880885, 618576148, 3546770314, 1279180386, 6953759066, 412413110, 2319951024, 2319928608, 2319928612, 176157987, 931476066, 2351239199, 1601980188, 6953759068, 692583141, 628577088, 2351239274, 477193101, 411822913, 1279440312, 230853785, 1279440328, 411822914, 477193102, 1298159796, 1801577502, 2351239275, 1298159815, 5303669833, 761892207, 176147425, 807615498, 1615222139, 1614180954, 2351239231, 866626668, 212641546, 212641545, 1990653939, 212641542, 2351239232, 1278990843, 807615550, 225658112, 807615517, 4625250963, 2068584452, 3514094828, 2471636809, 807615524, 212641540, 2339120977, 742221443, 6824854868, 725238550, 618260337, 6824854874, 6711752426, 1726852275, 1726852332, 2046596663, 866626763, 293107382, 6684811656, 410062605, 410062604, 4006840293, 6010618467, 225604293, 824382682, 3701666386, 2046596562, 6010618448, 4588805625, 1614261767, 6010618478, 223295954, 4588805633, 598410133, 1804730419, 2046596588, 737737681, 410060116, 1145549562, 645155644, 175040705, 803415479, 4315334782, 1446825411, 942723486, 1972014941, 942723438, 5935176111, 942723470, 5897103395, 5935176112, 5897103391, 5935176103, 5897103388, 663881698, 410058118, 664070917, 5562622973, 5562622969, 2046596650, 5897103079, 5562622951, 2012171657, 5897103072, 5562622946, 6717735698, 5562622941, 5562622938, 410058308, 768038072, 1616471527, 5897103064, 5562622931, 3364739616, 4648751473, 2046596624, 5897103060, 4308440806, 1608497388, 663838733, 410060113, 3206342378, 1396365315, 179442766, 3206342377, 501570936, 179442776, 220500339, 805380336, 2046596616, 804028552, 418202980, 220497815, 1412634107]"
411726870,1412634107,9985.980999999994,"[411726870, 654003982, 446166011, 4281424154, 411726869, 3900232902, 411726868, 3900232903, 4281424155, 411726867, 1411634596, 411726866, 411726865, 411726864, 411726863, 411726862, 411726861, 411726860, 411726859, 411726857, 4863376032, 518909057, 411726856, 411726855, 3900232882, 3900232905, 3900232883, 518909031, 411726853, 411726852, 411726851, 411726850, 411726849, 411726848, 411726847, 411726846, 411726845, 411726844, 411726843, 411726842, 411726841, 4262029176, 411726840, 1913635083, 411726839, 411726838, 3900232908, 3900232881, 411726837, 411726836, 411726835, 3900232907, 3900232906, 2871343444, 411726834, 823458995, 4811715759, 186405020, 2871343441, 5109652892, 823458950, 186405018, 186405016, 1475344456, 704289850, 817523814, 541400704, 186405013, 882563646, 704289840, 815470556, 541394104, 4262029139, 2688580007, 418812140, 2871343440, 186405002, 815470688, 186404998, 1182558723, 541402048, 186404995, 704289787, 827106966, 3077985665, 186404992, 186404990, 186404988, 1012615764, 186404986, 804657820, 186369503, 4347196409, 3605048968, 4347196405, 769045661, 971707802, 871025871, 871025864, 804657816, 458757595, 1723684807, 458757593, 458757590, 1653942027, 458756765, 458756764, 886669173, 886669184, 886669216, 1306509934, 3077060572, 886669193, 1483045633, 1483045632, 2919980921, 2919980920, 1483045628, 1483045627, 1483045626, 3205904438, 3205904435, 1483045613, 3205904434, 3205904431, 1483045611, 3609471543, 1483045607, 1483045606, 410983326, 470351547, 3205904449, 3205904450, 3205904451, 3205904452, 3205904453, 470351548, 3205904454, 179457578, 807635930, 807635924, 807635925, 179453623, 807635927, 175126230, 2158121644, 614546579, 1344162086, 410953403, 4433715401, 192202835, 1344162067, 1344162075, 1344162074, 477361371, 6832075049, 475950080, 477361378, 477361362, 1014500692, 412479670, 475991535, 2351239208, 626836996, 2351239204, 2454926832, 410953404, 476276887, 791268065, 3733077784, 192202829, 413451790, 2089619131, 496218316, 413451788, 3413857140, 2351239235, 175126211, 726406901, 726406887, 802046237, 175126208, 802046222, 4362401884, 410413679, 175126204, 1005013662, 710333758, 1464784325, 175126202, 4362401875, 4362401874, 175124189, 1464784321, 5566471632, 4362401878, 710333756, 2351239252, 802052866, 175124190, 802052867, 3210491160, 762448678, 175124192, 762448646, 1585537476, 802052861, 3684358044, 220497815, 1412634107]"
314575417,1412634107,2246.984000000001,"[314575417, 314576595, 1475786992, 761499466, 761498929, 413539888, 4032281650, 4032281647, 4032281644, 413539887, 4032281646, 2192770133, 1406256159, 413537595, 929836273, 968518466, 2471616107, 1404303352, 923870247, 761892211, 929836271, 2471616108, 503093048, 502835702, 1008892553, 3574768901, 1801577509, 1014889676, 1008892525, 5139822664, 3574773173, 761892192, 414443282, 1050979672, 1051012384, 176195127, 1015462003, 1002961495, 956784996, 414443436, 1366840050, 3870405540, 645014704, 633565264, 3870405541, 3514082273, 639030525, 1617470225, 212641552, 956784985, 212641550, 1990653936, 212641548, 212641546, 212641545, 1990653939, 212641542, 2351239232, 1278990843, 807615550, 225658112, 807615517, 4625250963, 2068584452, 3514094828, 2471636809, 807615524, 212641540, 2339120977, 742221443, 6824854868, 725238550, 618260337, 6824854874, 6711752426, 1726852275, 1726852332, 2046596663, 866626763, 293107382, 6684811656, 410062605, 410062604, 4006840293, 6010618467, 225604293, 824382682, 3701666386, 2046596562, 6010618448, 4588805625, 1614261767, 6010618478, 223295954, 4588805633, 598410133, 1804730419, 2046596588, 737737681, 410060116, 1145549562, 645155644, 175040705, 803415479, 4315334782, 1446825411, 942723486, 1972014941, 942723438, 5935176111, 942723470, 5897103395, 5935176112, 5897103391, 5935176103, 5897103388, 663881698, 410058118, 664070917, 5562622973, 5562622969, 2046596650, 5897103079, 5562622951, 2012171657, 5897103072, 5562622946, 6717735698, 5562622941, 5562622938, 410058308, 768038072, 1616471527, 5897103064, 5562622931, 3364739616, 4648751473, 2046596624, 5897103060, 4308440806, 1608497388, 663838733, 410060113, 3206342378, 1396365315, 179442766, 3206342377, 501570936, 179442776, 220500339, 805380336, 2046596616, 804028552, 418202980, 220497815, 1412634107]"
192127249,1412634107,4640.357999999998,"[192127249, 192127248, 192127246, 192127243, 466973512, 6953667481, 803387105, 175266154, 175258850, 6953667482, 220514987, 2351239250, 506257546, 2351239251, 1617598412, 2037817537, 415292534, 314567316, 589848974, 415284257, 415284256, 1624969708, 314567657, 1624969711, 2351239228, 882723119, 192127240, 579524802, 2351239229, 2299148928, 579527475, 2036944798, 2351239233, 5115668006, 1005027713, 192117340, 1005027659, 2351239234, 419237257, 419237256, 314575346, 314574197, 314573300, 314571916, 5164560592, 192076454, 5107229796, 5164523422, 179399586, 5107229794, 761892204, 5107229766, 5156363172, 2861412279, 5107242023, 416794945, 2041910153, 1772850451, 2351239266, 761892197, 412413111, 1005027649, 1014889856, 702107791, 1764038954, 414443291, 414443287, 1013584235, 1051012378, 230853783, 1210715113, 761892203, 5139822673, 5139822667, 1801577506, 761892229, 414443282, 1050979672, 1051012384, 176195127, 1015462003, 1002961495, 956784996, 414443436, 1366840050, 3870405540, 645014704, 633565264, 3870405541, 3514082273, 639030525, 1617470225, 212641552, 956784985, 212641550, 1990653936, 212641548, 212641546, 212641545, 1990653939, 212641542, 2351239232, 1278990843, 807615550, 225658112, 807615517, 4625250963, 2068584452, 3514094828, 2471636809, 807615524, 212641540, 2339120977, 742221443, 6824854868, 725238550, 618260337, 6824854874, 6711752426, 1726852275, 1726852332, 2046596663, 866626763, 293107382, 6684811656, 410062605, 410062604, 4006840293, 6010618467, 225604293, 824382682, 3701666386, 2046596562, 6010618448, 4588805625, 1614261767, 6010618478, 223295954, 4588805633, 598410133, 1804730419, 2046596588, 737737681, 410060116, 1145549562, 645155644, 175040705, 803415479, 4315334782, 1446825411, 942723486, 1972014941, 942723438, 5935176111, 942723470, 5897103395, 5935176112, 5897103391, 5935176103, 5897103388, 663881698, 410058118, 664070917, 5562622973, 5562622969, 2046596650, 5897103079, 5562622951, 2012171657, 5897103072, 5562622946, 6717735698, 5562622941, 5562622938, 410058308, 768038072, 1616471527, 5897103064, 5562622931, 3364739616, 4648751473, 2046596624, 5897103060, 4308440806, 1608497388, 663838733, 410060113, 3206342378, 1396365315, 179442766, 3206342377, 501570936, 179442776, 220500339, 805380336, 2046596616, 804028552, 418202980, 220497815, 1412634107]"
966505791,1412634107,4975.866999999997,"[966505791, 176267588, 176267586, 176267585, 176267584, 3639806336, 931681118, 176267582, 1154203972, 3639806337, 176267581, 513095401, 176267579, 176267578, 931680706, 176267576, 3729072125, 4035906190, 1740741119, 176267575, 176267573, 176267572, 415369699, 538837615, 1636147264, 176267569, 538837358, 614082139, 487937679, 175054390, 455895478, 798145519, 421329726, 421329722, 455892925, 474896843, 847531459, 4967986735, 176267562, 5010933796, 5010933797, 4974521911, 4974521912, 4869735541, 2302442945, 1064228793, 176605399, 4931365386, 176605047, 4931365387, 1699740576, 2210410045, 176267559, 1318719983, 4933627421, 474624776, 3613226464, 176267558, 618853800, 179431374, 5637153555, 5466035614, 3198118828, 179428591, 643365384, 5637153556, 4321064770, 1271979992, 4445733277, 4375138132, 4321064779, 5636635515, 3498419458, 4353511474, 3498419461, 4322675288, 4432180936, 4432180939, 4322677592, 3498419467, 4322664944, 3498419470, 5636636338, 5637117411, 3498419471, 4323708845, 3547038518, 175131771, 2374646872, 1243055543, 3923909098, 175131770, 1397311151, 192228507, 1397311149, 796649968, 758568989, 175131769, 6711606799, 6711606795, 758595441, 175131768, 824260540, 1404219803, 3535542450, 3535542449, 795512319, 175118129, 795512218, 775947596, 1367698191, 6482529140, 782289655, 410968169, 5646928758, 3612986539, 5646928757, 3612986540, 3612986541, 3860300639, 3858169961, 3858169962, 3858169966, 5646928747, 5646928741, 5646928742, 192224754, 599597174, 2351239247, 1585537475, 192224757, 1352399404, 1352399340, 412477811, 803307792, 415531607, 805391898, 410968174, 3438062869, 3215618355, 3215618353, 418202970, 3215618352, 412477959, 175129449, 1412634110, 1412634104, 3684358044, 220497815, 1412634107]"
1617622087,1412634107,1768.0700000000015,"[1617622087, 3236233283, 1165404293, 192135439, 919489249, 1617622135, 453231711, 958510450, 314569148, 2305240645, 314569552, 314570110, 3762161327, 3762161329, 3762161333, 1617623155, 3762161338, 192116652, 2305251529, 419241712, 761516373, 419241714, 761516256, 761515963, 761516039, 314576359, 314576358, 4361590930, 314576357, 314576355, 314575356, 314571905, 314571549, 1475786991, 314576595, 1475786992, 761499466, 761498929, 413539888, 4032281650, 4032281647, 4032281644, 413539887, 4032281646, 2192770133, 1406256159, 413537595, 929836273, 968518466, 2471616107, 1404303352, 923870247, 761892211, 929836271, 2471616108, 503093048, 502835702, 1008892553, 3574768901, 1801577509, 1014889676, 1008892525, 5139822664, 3574773173, 761892192, 414443282, 1050979672, 1051012384, 176195127, 1015462003, 1002961495, 956784996, 414443436, 1366840050, 3870405540, 645014704, 633565264, 3870405541, 3514082273, 639030525, 1617470225, 212641552, 956784985, 212641550, 1990653936, 212641548, 212641546, 212641545, 1990653939, 212641542, 2351239232, 1278990843, 807615550, 225658112, 807615517, 4625250963, 2068584452, 3514094828, 2471636809, 807615524, 212641540, 2339120977, 742221443, 6824854868, 725238550, 618260337, 6824854874, 6711752426, 1726852275, 1726852332, 2046596663, 866626763, 293107382, 6684811656, 410062605, 410062604, 4006840293, 6010618467, 225604293, 824382682, 3701666386, 2046596562, 6010618448, 4588805625, 1614261767, 6010618478, 223295954, 4588805633, 598410133, 1804730419, 2046596588, 737737681, 410060116, 1145549562, 645155644, 175040705, 803415479, 4315334782, 1446825411, 942723486, 1972014941, 942723438, 5935176111, 942723470, 5897103395, 5935176112, 5897103391, 5935176103, 5897103388, 663881698, 410058118, 664070917, 5562622973, 5562622969, 2046596650, 5897103079, 5562622951, 2012171657, 5897103072, 5562622946, 6717735698, 5562622941, 5562622938, 410058308, 768038072, 1616471527, 5897103064, 5562622931, 3364739616, 4648751473, 2046596624, 5897103060, 4308440806, 1608497388, 663838733, 410060113, 3206342378, 1396365315, 179442766, 3206342377, 501570936, 179442776, 220500339, 805380336, 2046596616, 804028552, 418202980, 220497815, 1412634107]"
871860615,1412634107,2023.8980000000001,"[871860615, 983060324, 973643112, 179462993, 907022036, 1980587929, 1856633273, 179462995, 179462996, 1860887522, 907021993, 179462998, 3965253344, 2916937114, 2210410060, 973645727, 5368142637, 179460670, 179460367, 907030048, 3171988261, 973642840, 1340861167, 1616746772, 6351765992, 4858887108, 179462999, 2531721079, 179463002, 1867123235, 655281116, 2879488162, 410956447, 4428847482, 1616742521, 1616742591, 1616742604, 5922257395, 6351765987, 5922257400, 410956449, 1768465200, 1768465205, 1616742633, 1768465210, 892259857, 1768465255, 907030070, 857052625, 176279670, 2918158177, 1337181357, 1337181370, 668987077, 480163144, 480163135, 2921630977, 2921630974, 480163139, 475991740, 1344162095, 1344162084, 2351239272, 1344162088, 192202835, 1344162067, 1344162075, 1344162074, 477361371, 6832075049, 475950080, 477361378, 477361362, 1014500692, 412479670, 475991535, 2351239208, 626836996, 2351239204, 2454926832, 410953404, 476276887, 791268065, 3733077784, 192202829, 413451790, 2089619131, 496218316, 413451788, 3413857140, 2351239235, 175126211, 726406901, 726406887, 802046237, 175126208, 802046222, 4362401884, 410413679, 175126204, 1005013662, 710333758, 1464784325, 175126202, 4362401875, 4362401874, 175124189, 1464784321, 5566471632, 4362401878, 710333756, 2351239252, 802052866, 175124190, 802052867, 3210491160, 762448678, 175124192, 762448646, 1585537476, 802052861, 3684358044, 220497815, 1412634107]"
3733978926,1412634107,3135.0620000000017,"[3733978926, 5556370877, 5556370883, 5556370881, 5556370880, 2442167437, 5716926243, 3733978207, 2442167426, 3733978193, 5556369665, 3733978188, 3755404831, 5716925461, 2469929166, 3755408813, 4246484023, 2442167423, 5556542275, 2442167453, 2096688387, 2469929167, 4333490215, 5716926306, 5556229499, 2096688391, 2442167543, 2469929170, 5556229833, 3733994274, 2469929626, 2096688405, 2469929174, 2469929175, 2469929176, 2469929177, 5556229690, 2469929178, 2096688411, 2439051143, 2439051152, 4246484030, 2469929179, 2096688413, 5556229489, 2096688416, 2096688418, 3629637847, 2469929181, 1133645608, 2469929182, 4246484036, 879368462, 2469929183, 411829205, 430574314, 984092498, 984092502, 411829204, 1623633446, 411829203, 411829202, 635773286, 635773285, 411829201, 984099090, 879368394, 411829200, 411829199, 4158902081, 411829198, 4422004676, 4158902073, 4158902074, 6307849408, 411829197, 1918379287, 1103056157, 411829196, 411829195, 879368407, 411829194, 7161678351, 1918379378, 411829193, 1607970313, 1607970365, 825443861, 179399605, 825443859, 7161678343, 825444071, 7161678348, 825443119, 179399603, 7161678347, 528024228, 7161678349, 411827206, 1617654071, 1188750662, 1617654021, 1188750523, 825443116, 4347298032, 4347298033, 176169911, 3392558130, 176169912, 1082041809, 176169913, 176169914, 176169915, 411722001, 176169916, 1188750678, 176169917, 2154033733, 176169918, 825443249, 3392545729, 176169920, 1188750515, 3392545730, 176169921, 176169922, 176169923, 939957998, 176169924, 931540612, 176169925, 1154170407, 176169926, 931540544, 4347321628, 4347321633, 176169927, 1487547356, 176169928, 1660291045, 568020070, 176147433, 4347321652, 568020069, 568020068, 931540577, 568020067, 411824618, 606205077, 606205076, 3612986547, 176157983, 858012979, 212654521, 858012980, 2467638655, 1190677217, 3689292856, 3688368769, 4908913158, 4908913159, 3342209641, 5077348402, 176157986, 2318880867, 2337928931, 2318880885, 618576148, 3546770314, 1279180386, 6953759066, 412413110, 2319951024, 2319928608, 2319928612, 176157987, 931476066, 2351239199, 1601980188, 6953759068, 692583141, 628577088, 2351239274, 477193101, 411822913, 1279440312, 230853785, 1279440328, 411822914, 477193102, 1298159796, 1801577502, 2351239275, 1298159815, 5303669833, 761892207, 176147425, 807615498, 1615222139, 1614180954, 2351239231, 866626668, 212641546, 212641545, 1990653939, 212641542, 2351239232, 1278990843, 807615550, 225658112, 807615517, 4625250963, 2068584452, 3514094828, 2471636809, 807615524, 212641540, 2339120977, 742221443, 6824854868, 725238550, 618260337, 6824854874, 6711752426, 1726852275, 1726852332, 2046596663, 866626763, 293107382, 6684811656, 410062605, 410062604, 4006840293, 6010618467, 225604293, 824382682, 3701666386, 2046596562, 6010618448, 4588805625, 1614261767, 6010618478, 223295954, 4588805633, 598410133, 1804730419, 2046596588, 737737681, 410060116, 1145549562, 645155644, 175040705, 803415479, 4315334782, 1446825411, 942723486, 1972014941, 942723438, 5935176111, 942723470, 5897103395, 5935176112, 5897103391, 5935176103, 5897103388, 663881698, 410058118, 664070917, 5562622973, 5562622969, 2046596650, 5897103079, 5562622951, 2012171657, 5897103072, 5562622946, 6717735698, 5562622941, 5562622938, 410058308, 768038072, 1616471527, 5897103064, 5562622931, 3364739616, 4648751473, 2046596624, 5897103060, 4308440806, 1608497388, 663838733, 410060113, 3206342378, 1396365315, 179442766, 3206342377, 501570936, 179442776, 220500339, 805380336, 2046596616, 804028552, 418202980, 220497815, 1412634107]"
1867139126,1412634107,814.8809999999999,"[1867139126, 414567992, 1867136910, 414567991, 414567990, 1180483143, 410953411, 1867123165, 1867136925, 476276942, 873731147, 598054912, 831611222, 3313560561, 476276888, 3313560562, 598054914, 479804831, 479804828, 737400103, 831611119, 477521789, 459416787, 475991731, 477521791, 791268097, 571494582, 471730280, 410953404, 476276887, 791268065, 3733077784, 192202829, 413451790, 2089619131, 496218316, 413451788, 3413857140, 2351239235, 175126211, 726406901, 726406887, 802046237, 175126208, 802046222, 4362401884, 410413679, 175126204, 1005013662, 710333758, 1464784325, 175126202, 4362401875, 4362401874, 175124189, 1464784321, 5566471632, 4362401878, 710333756, 2351239252, 802052866, 175124190, 802052867, 3210491160, 762448678, 175124192, 762448646, 1585537476, 802052861, 3684358044, 220497815, 1412634107]"
