from,to,length,path
771597846,175060062,3007.6999999999994,"[771597846, 1768486810, 747722336, 175054407, 747722378, 793142317, 2924608798, 2270104649, 6473471204, 3639645613, 847530101, 175054406, 748779902, 793882464, 175054405, 490596679, 2351971123, 1809083954, 1271727500, 4346949759, 598701740, 416564071, 175054404, 847531513, 1387829350, 3881489936, 1078865560, 3881393100, 1078865639, 598701742, 598701751, 1078951745, 175054400, 175054399, 1387829331, 1272931716, 1078951779, 552091852, 3881398360, 1387829332, 710082539, 4401007284, 175054397, 847531469, 414422168, 965928144, 1720557015, 965928130, 965928137, 574840068, 414422156, 1412916587, 5796720718, 412359792, 3206342868, 3206342867, 3206342866, 670459730, 412359795, 412359794, 3206342865, 3206342864, 3206342863, 3206342862, 412359793, 412359791, 3579744507, 176611811, 176625127, 3206342458, 3206342459, 3206342460, 3206342861, 176622200, 4832001155, 1412916575, 1412916556, 1007093704, 6464381894, 176624721, 414414109, 4245546421, 2893178375, 1615660976, 2374513757, 1615660993, 1636170041, 538850300, 1636178140, 414414102, 175031560, 421328831, 175058353, 1636170037, 175058352, 1984042353, 4290527737, 4107295675, 645226647, 1154203878, 192073543, 175060062]"
4271138297,175060062,15253.012999999997,"[4271138297, 4271138296, 4281424150, 4365173164, 3453823918, 772960106, 4281424151, 3900232897, 2888587603, 3900232898, 4281424152, 411726875, 2868031581, 411726873, 411726872, 411726871, 411726870, 654003982, 446166011, 4281424154, 411726869, 3900232902, 411726868, 3900232903, 4281424155, 411726867, 1411634596, 411726866, 411726865, 411726864, 411726863, 411726862, 411726861, 411726860, 411726859, 411726857, 4863376032, 518909057, 411726856, 411726855, 3900232882, 3900232905, 3900232883, 518909031, 411726853, 411726852, 411726851, 411726850, 411726849, 411726848, 411726847, 411726846, 411726845, 411726844, 411726843, 411726842, 411726841, 4262029176, 411726840, 1913635083, 411726839, 411726838, 3900232908, 3900232881, 411726837, 411726836, 411726835, 3900232907, 3900232906, 2871343444, 411726834, 823458995, 4811715759, 186405020, 2871343441, 5109652892, 823458950, 186405018, 186405016, 1475344456, 704289850, 817523814, 541400704, 186405013, 882563646, 704289840, 815470556, 541394104, 4262029139, 2688580007, 418812140, 2871343440, 186405002, 815470688, 186404998, 1182558723, 541402048, 186404995, 704289787, 827106966, 3077985665, 186404992, 186404990, 186404988, 1012615764, 186404986, 804657820, 186369503, 4347196409, 3605048968, 4347196405, 769045661, 971707802, 871025871, 871025864, 804657816, 458757595, 1723684807, 458757593, 458757590, 1653942027, 458756765, 458756764, 886669173, 886669184, 886669216, 1306509934, 3077060572, 886669193, 1483045633, 1483045632, 2919980921, 2919980920, 1483045628, 1483045627, 1483045626, 3205904438, 3205904435, 1483045613, 3205904434, 3205904431, 1483045611, 3609471543, 1483045607, 1483045606, 410983326, 868713901, 3079874573, 1337148421, 1616742494, 3853877542, 192196891, 176279670, 791267613, 2918158168, 3609520255, 476276889, 3609520254, 477521858, 471730363, 476276952, 3609554653, 857052594, 3313560561, 476276888, 3313560562, 6449680421, 831611241, 3609554652, 176279667, 3263470213, 3263470212, 176279666, 176279665, 176279664, 3263470211, 724916519, 176279663, 2086979289, 792224067, 176188559, 598054726, 990041385, 3609579606, 3609579605, 631813150, 710668910, 725268680, 319525171, 712088929, 605439425, 598054719, 176279662, 595755427, 725264568, 703284446, 725264566, 999470855, 5402950551, 595755424, 1699781363, 1699781361, 1699781359, 595755423, 2373253559, 2631456143, 2631456140, 643405286, 360181864, 674025590, 3611204626, 176279660, 410067529, 1520596364, 501570999, 176279659, 179443339, 179442772, 179442768, 3206342372, 179442767, 410060113, 176277605, 470133815, 3613178405, 1590309535, 805391746, 176277604, 805391782, 1971425476, 3291866153, 2081301687, 410059676, 2081301686, 176277603, 410049575, 410049574, 313890644, 6761219285, 410049573, 2351239259, 803363042, 176144584, 740571735, 2351239258, 704285481, 493976681, 1341958356, 818498599, 824037478, 824037473, 795512239, 176277599, 795512348, 3613186583, 703571074, 3613186582, 773458442, 176277597, 740474688, 698275165, 702481841, 702481812, 702481838, 795996685, 176277596, 702481833, 2374907921, 806279190, 1794063647, 413554877, 4346950694, 176201780, 806279153, 2894957227, 2374907920, 2924589893, 612896049, 176277595, 541397189, 2924578323, 2924578322, 176277593, 796661471, 1318720221, 456766259, 456766260, 5637153577, 5035954714, 5637153580, 4321064767, 4321064766, 5637153582, 5722058919, 5722058920, 5722059321, 4321064765, 4430355949, 1242136756, 5637153591, 176267558, 3613226464, 474624776, 4933627421, 1318719983, 176267559, 2210410045, 1699740576, 4931365387, 176605047, 804760271, 413542805, 4911865506, 176605397, 426471806, 1999588319, 4928344729, 3613259901, 6531576464, 847531452, 176602990, 847531451, 1354239549, 1615725013, 2210410056, 6953784613, 955659499, 175031572, 568024645, 6953784616, 1354239570, 457801800, 4043484641, 4043484640, 4043484639, 4107340719, 798145561, 175031569, 175031568, 457801803, 474662006, 798686925, 175031565, 175031563, 175031562, 175031561, 708912262, 175031560, 421328831, 175058353, 1636170037, 175058352, 1984042353, 4290527737, 4107295675, 645226647, 1154203878, 192073543, 175060062]"
sum,18260.71299999999
